BAG,D3A8C9,Begin Active Environment Group
BBC,D3A8EB,Begin Bar Code Object
BDA,D3EEEB,Bar Code Data
BDD,D3A6EB,Bar Code Data Descriptor
BDG,D3A8C4,Begin Document Environment Group
BDI,D3A8A7,Begin Document Index
BDM,D3A8CA,Begin Data Map
BDT,D3A8A8,Begin Document
BDX,D3A8E3,Begin Data Map Transmission Subcase
BFG,D3A8C5,Begin Form Environment Group (obsolete)
BFM,D3A8CD,Begin Form Map
BGR,D3A8BB,Begin Graphics Object
BII,D3A87B,Begin Image Object IM
BIM,D3A8FB,Begin Image Object IO
BMM,D3A8CC,Begin Medium Map
BMO,D3A8DF,Begin Overlay
BNG,D3A8AD,Begin Named Page Group
BOC,D3A892,Begin Object Container
BOG,D3A8C7,Begin Object Environment Group
BPG,D3A8AF,Begin Page
BPM,D3A8CB,Begin Page Map
BPS,D3A85F,Begin Page Segment
BPT,D3A89B,Begin Presentation Text Object
BRS,D3A8CE,Begin Resource
BRG,D3A8C6,Begin Resource Group
BSG,D3A8D9,Begin Resource Environment Group
CCP,D3A7CA,Conditional Processing Control
CDD,D3A692,Container Data Descriptor
CTC,D3A79B,Composed Text Control (obsolete)
DXD,D3A6E3,Data Map Transmission Subcase Descriptor
EAG,D3A9C9,End Active Environment Group
EBC,D3A9EB,End Bar Code Object
EDG,D3A9C4,End Document Environment Group
EDI,D3A9A7,End Document Index
EDM,D3A9CA,End Data Map
EDT,D3A9A8,End Document
EDX,D3A9E3,End Data Map Transmission Subcase
EFG,D3A9C5,End Form Environment Group (obsolete)
EFM,D3A9CD,End Form Map
EGR,D3A9BB,End Graphics Object
EII,D3A97B,End Image Object IM
EIM,D3A9FB,End Image Object IO
EMM,D3A9CC,End Medium Map
EMO,D3A9DF,End Overlay
ENG,D3A9AD,End Named Page Group
EOC,D3A992,End Object Container
EOG,D3A9C7,End Object Environment Group
EPG,D3A9AF,End Page
EPM,D3A9CB,End Page Map
DPS,D3A95F,End Page Segment
EPT,D3A99B,End Presentation Text
ERS,D3A9CE,End Resource
ERG,D3A9C6,End Resource Group
ESG,D3A9D9,End Resource Environment Group
FDS,D3AAEC,Fixed Data Size
FDX,D3EEEC,Fixed Data Text
FGD,D3A6C5,Form Environment Group Descriptor (obsolete)
GAD,D3EEBB,Graphics Data
GDD,D3A6BB,Graphics Data Descriptor
ICP,D3AC7B,Image Cell Position
IDD,D3A6FB,Image Data Descriptor IO
IDM,D3ABCA,Invoke Data Map
IEL,D3B2A7,Index Element
IID,D3A67B,Image Input Descriptor IM
IMM,D3ABCC,Invoke Medium Map
IOB,D3AFC3,Include Object
IOC,D3A77B,Image Output Control IM
IPD,D3EEFB,Image Picture Data IO
IPG,D3AFAF,Include Page
IPO,D3AFD8,Include Page Overlay
IPS,D3AF5F,Include Page Segment
IRD,D3EE7B,Image Raster Data IM
LIN,------,Line Record
LLE,D3B490,Link Logical Element
LNC,D3AAE7,Line Descriptor Count
LND,D3A6E7,Line Descriptor
MBC,D3ABEB,Map Bar Code
MCC,D3A288,Medium Copy Count
MCD,D3AB92,Map Container Data
MCF,D3B18A,Map Coded Font (Format 1)
MCF,D3AB8A,Map Coded Font (Format 2)
MDD,D3A688,Medium Descriptor
MDR,D3ABC3,Map Data Resource
MFC,D3A088,Medium Finishing Control
MGO,D3ABBB,Map Graphic Object
MIO,D3ABFB,Map IO Image Object
MMC,D3A788,Medium Modification Control
MMO,D3B1DF,Map Medium Overlay
MMT,D3AB88,Map Media Type
MPG,D3ABAF,Map Page
MPO,D3ABD8,Map Page Overlay
MPS,D3B15F,Map Page Segment
MSU,D3ABEA,Map Suppression
NOP,D3EEEE,No Operation
OBD,D3A66B,Object Area Descriptor
OBP,D3AC6B,Object Area Position
OCD,D3EE92,Object Container Data
PEC,D3A7A8,Presentation Environment Control
PFC,D3B288,Presentation Fidelity Control
PGD,D3A6AF,Page Descriptor
PGP,D3ACAF,Page Position (Format 1)
PGP,D3B1AF,Page Position (Format 2)
PMC,D3A7AF,Page Modification Control
PPO,D3ADC3,Preprocess Presentation Object
PTD,D3A69B,Presentation Text Descriptor (Format 1)
PTD,D3B19B,Presentation Text Descriptor (Format 2)
PTX,D3EE9B,Presentation Text Data
RCD,D3A68D,Record Descriptor
TLE,D3A090,Tag Logical Element
XMD,D3A68E,XML Descriptor

BCF,D3A88A,Begin Coded Font
BCP,D3A887,Begin Code Page
BFN,D3A889,Begin Font
CFC,D3A78A,Coded Font Control
CFI,D38C8A,Coded Font Index
CPC,D3A787,Code Page Control
CPD,D3A687,Code Page Descriptor
CPI,D38C87,Code Page Index
ECF,D3A98A,End Coded Font
ECP,D3A987,End Code Page
EFN,D3A989,End Font
FNC,D3A789,Font Control
FND,D3A689,Font Descriptor
FNG,D3EE89,Font Patterns
FNI,D38C89,Font Index
FNM,D3A289,Font Patterns Map
FNN,D3AB89,Font Names (Outline Fonts Only)
FNO,D3AE89,Font Orientation
FNP,D3AC89,Font Position
